"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S288","Audio-visual and related services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade values","ITS_MTV_QX","Total merchandise exports - quarterly","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","Prior to January 2010 data exclude trade with Botswana, Lesotho, Namibia and Swaziland."
"Merchandise trade values","ITS_MTV_MX","Total merchandise exports - monthly","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","Prior to January 2010 data exclude trade with Botswana, Lesotho, Namibia and Swaziland."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States. Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Beginning 2013, data refer to trade in goods measured as per the 6th edition of the BOP Manual (prior to 2013 data correspond to BPM5 recommendation - the difference is not significant for the Russian Federation)."
"Merchandise trade - indices and prices","ITS_MTP_AMF","Merchandise import value fixed-base indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Merchandise trade - indices and prices","ITS_MTP_AMVF","Merchandise import volume fixed-base indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Merchandise trade - indices and prices","ITS_MTP_AUVMF","Merchandise import unit value fixed-base indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value chained indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume chained indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","Prior to January 2010 data exclude trade with Botswana, Lesotho, Namibia and Swaziland."
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value chained indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Merchandise trade - indices and prices","ITS_MTP_AMVG","Merchandise import volume change - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","APC","% change over previous year","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional"
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value chained indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AXF","Merchandise export value fixed-base indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade - indices and prices","ITS_MTP_AXVF","Merchandise export volume fixed-base indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade - indices and prices","ITS_MTP_AUVXF","Merchandise export unit value fixed-base indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade - indices and prices","ITS_MTP_AX","Merchandise export value chained indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade - indices and prices","ITS_MTP_AXV","Merchandise export volume chained indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade - indices and prices","ITS_MTP_AUVX","Merchandise export unit value chained indices - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade - indices and prices","ITS_MTP_AXVG","Merchandise export volume change - annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","APC","% change over previous year","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","18: TDM"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Exclude military goods, fissionable materials, bunkers."
"Merchandise trade - indices and prices","ITS_MTP_AMF","Merchandise import value fixed-base indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AMVF","Merchandise import volume fixed-base indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S262","Computer and information services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S288","Audio-visual and related services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AUVMF","Merchandise import unit value fixed-base indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value chained indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume chained indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value chained indices - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AMVG","Merchandise import volume change - annual","158","CHT","Chinese Taipei","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","APC","% change over previous year","Coverage","Prior to 05 indices: deflators used are unit value indices. Beginning 05: use of price indices."
"Merchandise trade - indices and prices","ITS_MTP_AMVG","Merchandise import volume change - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","APC","% change over previous year","Coverage","Indices BOP"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","643","RUS","Russian Federation","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","92-93: data exclude trade with other countries from the CIS and Baltic States.  Beginning 2010 this series includes an adjustment for bilateral trade with Kazakhstan that is no longer recorded by customs following implementation of a bilateral customs union. Beginning 2013, data refer to trade in goods measured as per the 6th edition of the BOP Manual (prior to 2013 data correspond to BPM5 recommendation - the difference is not significant for the Russian Federation)."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","a) May cover transactions belonging to other services items for 2000. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S287","Personal, cultural and recreational services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S287","Personal, cultural and recreational services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AMF","Merchandise import value fixed-base indices - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Indices BOP"
"Merchandise trade - indices and prices","ITS_MTP_AMVF","Merchandise import volume fixed-base indices - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Indices BOP"
"Merchandise trade - indices and prices","ITS_MTP_AUVMF","Merchandise import unit value fixed-base indices - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Indices BOP"
"Merchandise trade - indices and prices","ITS_MTP_AM","Merchandise import value chained indices - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Indices BOP"
"Merchandise trade - indices and prices","ITS_MTP_AMV","Merchandise import volume chained indices - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Indices BOP"
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AUVM","Merchandise import unit value chained indices - annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","IDP","Previous year=100","Coverage","Indices BOP"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","a) Figures are estimated by UNCTAD-WTO. They include an estimate for Information Technology Enabled Services (ITES) and Business Process Outsourcing Services (BPO) which are classified under "software" by the Reserve Bank of India (source:  RBI, Survey on Computer Software & Information Technology Services Exports, various issues). b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S287","Personal, cultural and recreational services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S262","Computer and information services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S262","Computer and information services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S287","Personal, cultural and recreational services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S262","Computer and information services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
